AYUSH_Code,AYUSH_Term,Target_System,WHO_Code_Candidate,WHO_Term_Candidate,Similarity_Score,Suggested_Relationship
AYURVEDA-AYU,vyAdhi-viniScayaH,Biomedicine,XM1Y07,- - - - - - - Vinorelbine,0.5193,related-to
AYURVEDA-AYU,vyAdhi-viniScayaH,Biomedicine,XM9Q64,- - - - - Halethazole,0.5075,related-to
AYURVEDA-DIS,vikAraH,Biomedicine,XM5G31,- - - - - - Vigabatrin,0.5395,related-to
AYURVEDA-DIS,vikAraH,Biomedicine,XN44G,- - - - - - Vibrio vulnificus,0.5215,related-to
AYURVEDA-DIS,vikAraH,Biomedicine,XN8RL,- - - - - Vibrio,0.5147,related-to
AYURVEDA-A,doShavaiShamyam,Biomedicine,XM29Q8,- - - - - - - Thiazinam,0.5085,related-to
AYURVEDA-AA,vAtavyAdhiH,Biomedicine,XM9FN4,- - - - - - - Vamidothion,0.6709,related-to
AYURVEDA-AA,vAtavyAdhiH,Biomedicine,XM59J5,- - - - - Vadadustat,0.621,related-to
AYURVEDA-AA,vAtavyAdhiH,Biomedicine,XM1UM9,- - - - - Vasodilan,0.551,related-to
AYURVEDA-AAA,doShAvasthA (vAta),Biomedicine,XM8BL3,- - - - - Ipecacuanha,0.581,related-to
AYURVEDA-AAA,doShAvasthA (vAta),Biomedicine,XM1UM9,- - - - - Vasodilan,0.5769,related-to
AYURVEDA-AAA,doShAvasthA (vAta),Biomedicine,XM9FN4,- - - - - - - Vamidothion,0.5342,related-to
AYURVEDA-SR11 (AAA-1),vAtasa~jcayaH,TM2,SM9B,Vaginismus disorder (TM2),0.5009,equivalent
AYURVEDA-SR11 (AAA-1),vAtasa~jcayaH,Biomedicine,SK55,- - - - Weakness of thighs due to vata disorder (TM2),0.5089,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,TM2,SK53,Stammering disorder (TM2),0.5269,equivalent
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,TM2,SM9B,Vaginismus disorder (TM2),0.5123,equivalent
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,TM2,SM33,Abdominal pain disorder (TM2),0.5071,equivalent
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,Biomedicine,GA34.0Z,"- - - - Pain related to vulva, vagina or pelvic floor, unspecified",0.5069,related-to
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,Biomedicine,GA34.0,"- - - Pain related to vulva, vagina or pelvic floor",0.5034,related-to
AYURVEDA-AAA-2.2,prANavAtakopaH,TM2,SK20,Facial palsy disorder (TM2),0.5796,equivalent
AYURVEDA-AAA-2.2,prANavAtakopaH,TM2,SP92,Oedema disorder (TM2),0.5649,equivalent
AYURVEDA-AAA-2.2,prANavAtakopaH,TM2,SP99,Pruritus disorder (TM2),0.5632,equivalent
AYURVEDA-AAA-2.2,prANavAtakopaH,Biomedicine,MD11.Z,"- - - - Abnormalities of breathing, unspecified",0.5363,related-to
AYURVEDA-AAA-2.2,prANavAtakopaH,Biomedicine,6D5Z,"- - Factitious disorders, unspecified",0.5207,related-to
AYURVEDA-AAA-2.2,prANavAtakopaH,Biomedicine,ED63.3,- - - - - Vogt-Koyanagi-Harada syndrome,0.5192,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,TM2,SP92,Oedema disorder (TM2),0.5753,equivalent
AYURVEDA-AAA-2.3,udAnavAtakopaH,TM2,SQ2Y,Other specified behavioural disorders (TM2),0.5729,equivalent
AYURVEDA-AAA-2.3,udAnavAtakopaH,TM2,SL0Y,Other specified neck and throat disorders (TM2),0.5599,equivalent
AYURVEDA-AAA-2.3,udAnavAtakopaH,Biomedicine,CA0H.Z,"- - - Diseases of vocal cords or larynx, not elsewhere classified, unspecified",0.5105,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,Biomedicine,ED63.3,- - - - - Vogt-Koyanagi-Harada syndrome,0.5093,related-to
AYURVEDA-AAA-2.3,udAnavAtakopaH,Biomedicine,MA80.2Z,"- - - - - Dysarthria, unspecified",0.5092,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,TM2,SP57,Intermittent fever disorder (TM2),0.6335,equivalent
AYURVEDA-AAA-2.4,vyAnavAtakopaH,TM2,SN05,Orchitis disorder (TM2),0.6319,equivalent
AYURVEDA-AAA-2.4,vyAnavAtakopaH,TM2,SP54,Fever with body pain disorder (TM2),0.6227,equivalent
AYURVEDA-AAA-2.4,vyAnavAtakopaH,Biomedicine,ED63.3,- - - - - Vogt-Koyanagi-Harada syndrome,0.6028,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,Biomedicine,EM0Z,- Skin disease of unspecified nature,0.5691,related-to
AYURVEDA-AAA-2.4,vyAnavAtakopaH,Biomedicine,LD90.2,- - Pelizaeus-Merzbacher-like disease,0.5679,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,TM2,SM3K,Abdominal lumps disorder (TM2),0.5675,equivalent
AYURVEDA-AAA-2.5,samAnavAtakopaH,TM2,SM16,Sialorrhoea disorder (TM2),0.5437,equivalent
AYURVEDA-AAA-2.5,samAnavAtakopaH,TM2,SN4P,Pemphigus vulgaris disorder (TM2),0.5405,equivalent
AYURVEDA-AAA-2.5,samAnavAtakopaH,Biomedicine,1D4B,- - Kyasanur Forest disease,0.5452,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,Biomedicine,1C11.00,- - - - Oroya fever,0.5097,related-to
AYURVEDA-AAA-2.5,samAnavAtakopaH,Biomedicine,CA0A.0,- - - Samter syndrome,0.5025,related-to
AYURVEDA-AAA-2.6,apAnavAtakopaH,TM2,SM90,Amenorrhoea disorder (TM2),0.6126,equivalent
AYURVEDA-AAA-2.6,apAnavAtakopaH,TM2,SN09,Spermatorrhoea disorder (TM2),0.6069,equivalent
AYURVEDA-AAA-2.6,apAnavAtakopaH,TM2,SM9A,Uterine prolapse disorder (TM2),0.593,equivalent
AYURVEDA-AAA-2.6,apAnavAtakopaH,Biomedicine,SN4P,- - - - - Pemphigus vulgaris disorder (TM2),0.5425,related-to
AYURVEDA-AAA-2.6,apAnavAtakopaH,Biomedicine,1D4B,- - Kyasanur Forest disease,0.5193,related-to
AYURVEDA-AAA-2.6,apAnavAtakopaH,Biomedicine,ED63.3,- - - - - Vogt-Koyanagi-Harada syndrome,0.5116,related-to
AYURVEDA-AAB,nAnAtmajavAtavikAraH,Biomedicine,XM45N8,- - - - - - - Palivizumab,0.5089,related-to
AYURVEDA-AAB,nAnAtmajavAtavikAraH,Biomedicine,XM8BL3,- - - - - Ipecacuanha,0.5077,related-to
AYURVEDA-SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),TM2,SQ05,"Lack of concentration, confusion disorder (TM2)",0.5743,equivalent
AYURVEDA-SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),Biomedicine,6D11.4,- - - Anankastia in personality disorder or personality difficulty,0.5486,related-to
AYURVEDA-AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),Biomedicine,XM8597,- - - - - - Gliquidone,0.5801,related-to
AYURVEDA-AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),Biomedicine,XM8983,- - - - - Guaiacolsulfonate,0.5683,related-to
AYURVEDA-AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),Biomedicine,XM08Q1,- - - - - - Pamaquine (naphthoate),0.5637,related-to
AYURVEDA-AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),Biomedicine,XM1J98,- - - - - Karaya (gum),0.5286,related-to
