Code,Title,Index_Terms
SK00,"Cephalalgia disorder (TM2)","(a) śiraḥśūla, (b) Maṇṭaikkuttiyal, (c) Ṣudā‘"
SK01,"Migraine disorder (TM2)","(a) ardhāvabhedakaḥ (c) Shaqīqa"
SK0Y,"Other specified headache disorders (TM2)","lalāṭabhedaḥ"
SK0Z,"Headache disorders (TM2), unspecified","Headache disorders (TM2), unspecified"
SK10,"Vertigo and giddiness disorder (TM2)","(a) bhramaḥ (b) Aẕal kiṟukiṟuppu (c) Sadr-o-Duwār"
SK1Y,"Other specified nervous system disorders (TM2)","Other specified nervous system disorders (TM2)"
SK1Z,"Nervous system disorders (TM2), unspecified","Nervous system disorders (TM2), unspecified"
SK20,"Facial palsy disorder (TM2)","(a) arditaḥ (b) Uraka vātam (c) Laqwa"
SK21,"Paraplegia disorder (TM2)","(a) paṅguḥ (c) Fālij Asfal"
SK22,"Hemiplegia disorder (TM2)","(a) pakṣāghāta (b) Pakṣavātam (c) Fālij"
SK2Y,"Other specified paralysis disorders (TM2)","khañjaḥ/khañjatvam"
SK2Z,"Paralysis disorders (TM2), unspecified","Paralysis disorders (TM2), unspecified"
SK30,"Seizure disorder (TM2)","(a) ākṣepakaḥ (b) Vaḷippu (c) Tashannuj"
SK31,"Epilepsy disorder (TM2)","(a) apasmāraḥ (b) Vaḷi ppu (c) Ṣar‘"
SK3Y,"Other specified seizure disorders (TM2)","Other specified seizure disorders (TM2)"
SK3Z,"Seizure disorders (TM2), unspecified","Seizure disorders (TM2), unspecified"
SK50,"Scalp affliction disorder (TM2)","(a) kapāla-rogaḥ (b) Kapāla tērai"
SK51,"Cervicobrachial pain disorder (TM2)","(a) viśvācī (b) Cirakkampa vātam (c) Waja‘ al-‘Unuq ‘Aṣabī"
SK52,"Tremor disorder (TM2)","(a) kampaḥ (b) Pāṇikkampa vātam (c) Ra‘sha"
SK53,"Stammering disorder (TM2)","(a) vāk-saṅgaḥ (b) Patita vātam (c) Loknat-e zabAn / Luknat"
SK54,"Numbness disorder (TM2)","(a) prasuptiḥ (b) Vātakarṣaṇam (c) Khadar"
SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)","bhrūvyudāsaḥ"
SK5Z,"Head, brain, nerve and movement disorders (TM2), unspecified","Head, brain, nerve and movement disorders (TM2), unspecified"
SK60,"Ocular hyperemia disorder (TM2)","(a) sirotpātaḥ (b) Viraṇa nerical "
SK61,"Prolapse iris disorder (TM2)","(a) ajakā (UNA) Ra’s al-Dhubābī"
SK62,"Blepharitis disorder (TM2)","(a) vartmāvabandhakaḥ (b) Imai Taṭippu (c) Sulāq"
SK63,"Day blindness disorder (TM2)","(a) divāndhyam (c) Rozkorī"
SK64,"Night blindness disorder (TM2)","(a) doṣavidagdhadṛṣṭiḥ"
SK65,"Cataract disorder (TM2)","(a) kācaḥ (b) Vaḷi kācam (c) Nuzūl al-Mā’"
SK66,"Conjunctivitis disorder (TM2)","(a) abhiṣyandaḥ (b) Aṉṉa kōpam (c) Ramad"
SK67,"Corneal disorder (TM2)","(a) pākātyayaḥ (b) Ceri Veri"
SK68,"Tear sac swelling disorder (TM2)","(a) pūyālasaḥ (b) Kuvaḷaippaṭuvaṉ (c) Gharab Munfajir"
SK69,"Eyelid cyst disorder (TM2)","(a) kumbhīkā (b) Viraṇap Paru (c) Sal‘a al-Ajfān"
SK6A,"Dry eye disorder (TM2)","(a) śuṣkākṣipākaḥ (c) Yubs al-Qarniyya"
SK6B,"Ectropion disorder (TM2)","(b) Imaiyuyarcci (c) Shatra Khārijiyya"
SK6C,"Pterygium disorder (TM2)","(a) prastāri-arma (b) Nākap paṭalam (c) Ẓafara"
SK6D,"Lacrimation disorder (TM2)","(a) srāvaḥ (b) Nīr vari (c) Dam‘a"
SK6E,"Trichiasis disorder (TM2)","(a) pakṣmakopaḥ (b) Muṭa mayir (c) Sha‘r Munqalib"
SK6F,"Eyelid tumour disorder (TM2)","(a) vartmārbudaḥ (b) Tacai kaẕalai (c) Uqda al-‘Ayn"
SK6G,"Hard swelling of eyelid disorder (TM2)","(a) śuṣkārśaḥ (c) Taḥajjur al-Ajfān"
SK6H,"Eyelid wart disorder (TM2)","(a) vartmagata-raktārśaḥ (c) Tha’ālīl al-Ajfān"
SK6J,"Excessive blinking disorder (TM2)","(a) nimeṣaḥ (c) Ṭarf al-Ajfān"
SK6K,"Eyelid haematoma disorder (TM2)","(a) śyāvavartma (b) Irattakkaẕalai"
SK6L,"Ptosis disorder (TM2)","(a) kṛcchronmīlaḥ (b) Viẕi vali (c) Istirkhā’ al-Jafn"
SK6M,"Sticky eyelids disorder (TM2)","(a) śliṣṭa-vartma (c) Iltiṣāq al-Jafn"
SK6N,"Chalazion disorder (TM2)","(a) lagaṇaḥ (c) Barada"
SK6P,"Stye disorder (TM2)","(a) añjananāmikā (b) Nīr paṟpa rōkam (c) Sha‘īra"
SK6Q,"Ptilosis disorder (TM2)","(a) pakṣmaśātaḥ (b) Iratta Kaẕalai (c) Intithār al-Ahdāb"
SK6R,"Non-inflammatory swelling of eye disorder (TM2)","(a) aśophapākaḥ (c) Intifākh Rīḥī"
SK6S,"Periorbital polyp disorder (TM2)","(a) netraja-arśaḥ (b) Viraṇap paru"
SK6T,"Phlyctenular nodule disorder (TM2)","(a) sirājapiḍakā (c) Ramad Buthūrī"
SK6U,"Trachoma disorder (TM2)","(a) pothakī (b) Kuvaḷaipaṭuvaṉ (c) Jarab al-‘Ayn"
SK6V,"Corneal opacity disorder (TM2)","(a) avraṇaśukraḥ (b) Viraṇa Cukkiraṉ (c) Bayāḍ al-‘Ayn"
SK6W,"Panopthalmitis disorder (TM2)","(a) saśophapākaḥ (b) Mataṉamantāram (c) Wardīnaj"
SK6X,"Phthisis bulbi disorder (TM2)","(a) hatādhimanthaḥ (c) Sill al-‘Ayn"
SK7Y,"Other specified eye disorders (TM2)","(a) vidagdhoṣṇaḥ"
SK7Z,"Eye disorders (TM2), unspecified","Eye disorders (TM2), unspecified"
SK80,"Ear abscess disorder (TM2)","(a) karṇa-vidradhiḥ (b) Curōṇita cevivaḷi (c) Qurūḥ al-Udhun"
SK81,"Deafness disorder (TM2)","(a) Bādhirya"
SK82,"Otorrhoea disorder (TM2)","(a) karṇa-srāvaḥ (b) Cīẕ cevi eẕucci (c) Sayalān al-Udhun"
SK83,"Pruritus of ear disorder (TM2)","(a) karṇa-kaṇḍū (b) Tēmalkātu karappāṉ (c) Ḥikka al-Udhun"
SK84,"Dysacousia disorder (TM2)","(a) uccaiḥśrutiḥ (c) Harb al-Udhun"
SK85,"Impacted cerumen disorder (TM2)","(a) karṇa-gūthakaḥ (c) Wasakh al-Udhun"
SK86,"Tinnitus disorder (TM2)","(a) aśabdaśravaṇam"
SK87,"Otalgia disorder (TM2)","(a) karṇaśūlaḥ (b) Karṉāvarttam nōkkāṭu (c) Waja‘ al-Udhun"
SK88,"Otitis disorder (TM2)","(a) karṇa-śophaḥ (b) Ceviviṟai Vaḷi (c) Iltihāb al-Udhun"
SK89,"Pustules of pinna disorder (TM2)","(a) Parilehi (b) Kuruti cevi paru (c) Buthūr al-Aṣdāgh"
SK8Y,"Other specified ear disorders (TM2)","Aggrevation of Aẕal and worm infestation disorder (TM2)"
SK8Z,"Ear disorders (TM2), unspecified","Ear disorders (TM2), unspecified"
SK90,"Epistaxis disorder (TM2)","(a) nāsāgata-raktapittam (c) Ru‘āf"
SK91,"Anosmia disorder (TM2)","(a) ghrāṇanāśaḥ (b) Vācaṉai nilaiyaṟital (c) Khasham"
SK92,"Dry nose disorder (TM2)","(a) puṭakaḥ (c) Jafāf al-Anf"
SK93,"Atrophic rhinitis disorder (TM2)","(a) nāsāśoṣaḥ (c) Iltihāb al-Anf Ḍumūrī"
SK94,"Nasal polyp disorder (TM2)","(a) nāsārśaḥ (b) Mūkku Kaẕalai (c) Bawāsīr al-Anf"
SK95,"Rhinitis disorder (TM2)","(a) pīnasaḥ"
SK96,"Coryza and catarrh disorder (TM2)","(a) ghrāṇasrāvaḥ (c) Nazla"
SK97,"Nasal obstruction disorder (TM2)","(a) nāsānāhaḥ (b) Kaẕuttu mūkkaṭaippu (c) Sudda-i-Khayshūm"
SK98,"Ozaena disorder (TM2)","(a) pūtināsā (b) Cirāy mūkkaṭaippu (c) Bakhr al-Anf"
SK99,"Sinusitis disorder (TM2)","(b) Mūkkaṭaippu nōy (c) Iltihāb-i-Tajāwīf al-Anf"
SK9A,"Adenoiditis disorder (TM2)","(a) kaṇṭhaśālūkaḥ (c) Iltihāb-i-Tajāwīf Ḥulqūmī Anfī"
SK9Y,"Other specified nose disorders (TM2)","Anosphrasia"
SK9Z,"Nose disorders (TM2), unspecified","Nose disorders (TM2), unspecified"
SL00,"Throat tumour disorder (TM2)","galārbudaḥ"
SL01,"Retropharyngeal abscess disorder (TM2)","(a) śataghnī (c) Khurāj Ḥalaqī Khalfī"
SL02,"Hoarseness of voice disorder (TM2)","(a) kaṇṭhodhvaṃsaḥ (b) Kural kammal (c) Buḥḥa al-Ṣawt"
SL03,"Indistinct- abnormal voice disorder (TM2)","(a) svarabhedaḥ (c) Khalal al-Ṣawt"
SL04,"Severe throat inflammation disorder (TM2)","(a) rohiṇī (b) Varaṭ kaṇam (c) Khunāq Wabā’ī"
SL05,"Pharyngitis disorder (TM2)","(a) balāsaḥ (b) Kāca pittam (c) Waram-i-Ḥalq"
SL06,"Tonsillitis disorder (TM2)","(a) tuṇḍikerī (c) Waram al-Lawzatayn"
