AYUSH_Code,AYUSH_Term,Target_System,WHO_Code_Candidate,WHO_Term_Candidate,Similarity_Score,Suggested_Relationship
AYURVEDA-AYU,vyAdhi-viniScayaH,TM2,SS50,Vata constitution pattern (TM2),0.5378,related-to
AYURVEDA-AYU,vyAdhi-viniScayaH,TM2,SS53,Vata-Pitta constitution pattern (TM2),0.5376,related-to
AYURVEDA-AYU,vyAdhi-viniScayaH,TM2,SS82,Vata predominant age pattern (TM2),0.5105,related-to
AYURVEDA-AYU,vyAdhi-viniScayaH,Biomedicine,XM6602,- - - - - - Vernakalant,0.6368,narrower-than
AYURVEDA-AYU,vyAdhi-viniScayaH,Biomedicine,XM0MV0,- - - - - - Valerian tincture,0.6213,narrower-than
AYURVEDA-AYU,vyAdhi-viniScayaH,Biomedicine,XM3PP3,- - - - - - Valerian root,0.6119,narrower-than
AYURVEDA-DIS,vikAraH,Biomedicine,XM6602,- - - - - - Vernakalant,0.6223,narrower-than
AYURVEDA-DIS,vikAraH,Biomedicine,XM3835,- - - - - - Vorapaxar,0.5511,related-to
AYURVEDA-DIS,vikAraH,Biomedicine,1E90,- - - Varicella,0.5378,related-to
AYURVEDA-A,doShavaiShamyam,Biomedicine,XM9511,- - - - - - Daraprim,0.5369,related-to
AYURVEDA-A,doShavaiShamyam,Biomedicine,XM59J5,- - - - - Vadadustat,0.5155,related-to
AYURVEDA-AA,vAtavyAdhiH,TM2,SR10,Vitiation of vāta pattern (TM2),0.5697,related-to
AYURVEDA-AA,vAtavyAdhiH,TM2,SS53,Vata-Pitta constitution pattern (TM2),0.545,related-to
AYURVEDA-AA,vAtavyAdhiH,TM2,SS55,Kapha-Vata constitution pattern (TM2),0.5367,related-to
AYURVEDA-AA,vAtavyAdhiH,Biomedicine,XM6602,- - - - - - Vernakalant,0.6336,narrower-than
AYURVEDA-AA,vAtavyAdhiH,Biomedicine,XM59J5,- - - - - Vadadustat,0.6215,narrower-than
AYURVEDA-AA,vAtavyAdhiH,Biomedicine,XM51E4,- - - - - Viquidil,0.5893,related-to
AYURVEDA-AAA,doShAvasthA (vAta),TM2,SS82,Vata predominant age pattern (TM2),0.5336,related-to
AYURVEDA-AAA,doShAvasthA (vAta),TM2,SR10,Vitiation of vāta pattern (TM2),0.5152,related-to
AYURVEDA-AAA,doShAvasthA (vAta),Biomedicine,XM59J5,- - - - - Vadadustat,0.6185,narrower-than
AYURVEDA-AAA,doShAvasthA (vAta),Biomedicine,XM6602,- - - - - - Vernakalant,0.5695,related-to
AYURVEDA-AAA,doShAvasthA (vAta),Biomedicine,XM3835,- - - - - - Vorapaxar,0.5494,related-to
AYURVEDA-SR11 (AAA-1),vAtasa~jcayaH,Biomedicine,XM6602,- - - - - - Vernakalant,0.5554,related-to
AYURVEDA-SR11 (AAA-1),vAtasa~jcayaH,Biomedicine,XM0MV0,- - - - - - Valerian tincture,0.5522,related-to
AYURVEDA-SR11 (AAA-1),vAtasa~jcayaH,Biomedicine,RA00.0,- - - Vaping related disorder,0.5234,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,TM2,SP61,Emaciation disorder (TM2),0.5359,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,TM2,SR12,Aggravation of vata pattern (TM2),0.53,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,TM2,SL02,Hoarseness of voice disorder (TM2),0.5299,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,Biomedicine,RA00.0,- - - Vaping related disorder,0.5956,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,Biomedicine,GA13.2,- - - - Hypertrophy of vulva,0.5526,related-to
AYURVEDA-SR12 (AAA-2),vAtavRuddhiH,Biomedicine,MF39,- - - Symptom or complaint of the vulva,0.5434,related-to
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,TM2,SR12,Aggravation of vata pattern (TM2),0.5876,related-to
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,TM2,SM33,Abdominal pain disorder (TM2),0.559,related-to
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,TM2,SP54,Fever with body pain disorder (TM2),0.5297,related-to
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,Biomedicine,SR12,- - - - Aggravation of vata pattern (TM2),0.5724,related-to
AYURVEDA-SR10  (AAA-2.1),vAtaprakopaH,Biomedicine,XM3835,- - - - - - Vorapaxar,0.5248,related-to
